a	b	score
DEFB123	DEFB115	941
DEFB123	DEFB132	900
DEFB123	DEFB116	905
DEFB123	DEFB127	900
DEFB123	DEFB121	933
DEFB123	DEFB125	948
DEFB123	DEFB126	935
DEFB123	DEFB119	958
DEFB119	DEFB126	938
DEFB119	DEFB132	935
DEFB119	DEFB115	924
DEFB119	DEFB127	908
DEFB119	DEFB116	900
DEFB119	DEFB121	944
DEFB119	DEFB125	900
ENTPD6	ITPA	975
XRN2	NOP56	944
CRNKL1	SNRPB	992
POLR3F	ITPA	901
BMP2	BMP7	939
CRLS1	CDS2	972
MCM8	PCNA	910
ADRA1D	AVP	908
FKBP1A	BMP7	910
FKBP1A	NFATC2	921
DEFB132	DEFB121	933
DEFB132	DEFB126	944
DEFB132	DEFB115	900
DEFB132	DEFB125	945
DEFB132	DEFB116	900
DEFB132	DEFB127	935
DEFB127	DEFB115	938
DEFB127	DEFB125	952
DEFB127	DEFB121	909
DEFB127	DEFB126	972
DEFB127	DEFB116	900
DEFB126	DEFB115	913
DEFB126	DEFB116	906
DEFB126	DEFB121	950
DEFB126	DEFB125	954
DEFB125	DEFB121	916
DEFB125	DEFB115	931
DEFB125	DEFB116	900
DEFB116	DEFB121	900
DEFB116	DEFB115	900
DEFB115	DEFB121	900
